VehicleId,VehicleDescription,Make,Model,ModelYear,ComplaintsCount,RecallsCount,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,InvestigationCount
20895,2026 HONDA CIVIC SEDAN HYBRID 4 DR HEV FWD,HONDA,CIVIC SEDAN HYBRID HEV,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,0
20896,2026 HONDA CIVIC SEDAN SI 4 DR N/A FWD,HONDA,CIVIC SEDAN SI,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14048P082.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14048C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14049P103.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14049C013.wmv,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14050P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14050C013.wmv,Standard,No,No,0
20886,2026 HONDA CR-V SUV N/A AWD,HONDA,CR-V,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,0
20885,2026 HONDA CR-V SUV N/A FWD,HONDA,CR-V,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,0
20888,2026 HONDA CR-V HYBRID SUV HEV AWD,HONDA,CR-V HYBRID HEV,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,0
20887,2026 HONDA CR-V HYBRID SUV HEV FWD,HONDA,CR-V HYBRID HEV,2026,0,0,5,4,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14439P084.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14439C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14472P143.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14472C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14443P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14443C013.wmv,Standard,No,No,0
20890,2026 HONDA HR-V SUV N/A AWD,HONDA,HR-V,2026,0,0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14272P085.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14272C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14273P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14273C013.wmv,5,5,5,4,Not Rated,0.143,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14291P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14291C013.wmv,Standard,No,No,0
20889,2026 HONDA HR-V SUV N/A FWD,HONDA,HR-V,2026,0,0,5,5,5,4,https://static.nhtsa.gov/crashTest/images/2026/v14272P085.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14272C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v14273P105.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14273C013.wmv,5,5,5,4,Not Rated,0.14,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v14291P074.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v14291C013.wmv,Standard,No,No,0
20893,2026 HONDA ODYSSEY PV N/A FWD,HONDA,ODYSSEY,2026,0,0,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10131P080.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10131C017.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2026/v10132P104.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10132C013.wmv,5,5,5,4,Not Rated,0.136,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2026/v10130P072.jpg,https://static.nhtsa.gov/crashTest/videos/2026/v10130C013.wmv,Standard,No,No,0
20884,2026 HONDA PASSPORT SUV N/A AWD,HONDA,PASSPORT,2026,0,0,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Standard,No,No,0
