cityPercent,highwayPercent,lastDate,mpg,state,vehicleId
80,20,2010-05-27T00:00:00-04:00,52.0,IL,26425
10,90,2017-02-03T00:00:00-05:00,51.8,OH,26425
70,30,2012-09-05T00:00:00-04:00,51.760922054,NY,26425
55,45,2009-09-01T00:00:00-04:00,51.705477778,TN,26425
30,70,2011-09-23T00:00:00-04:00,51.5,NY,26425
40,60,2011-04-26T00:00:00-04:00,51.460487927,FL,26425
47,53,2013-04-17T00:00:00-04:00,51.441674173,SC,26425
0,0,2010-10-17T00:00:00-04:00,51.4,CA,26425
0,0,2018-04-15T00:00:00-04:00,51.3902406,NJ,26425
65,35,2009-08-27T00:00:00-04:00,51.371984436,FL,26425
20,80,2013-08-15T00:00:00-04:00,51.142180701,,26425
60,40,2011-05-25T00:00:00-04:00,51.1,OH,26425
30,70,2012-09-19T00:00:00-04:00,51.0,OH,26425
21,79,2010-09-01T00:00:00-04:00,50.886892529,DC,26425
50,50,2012-05-26T00:00:00-04:00,50.7,UT,26425
25,75,2010-10-02T00:00:00-04:00,50.693783232,PA,26425
44,56,2012-11-29T00:00:00-05:00,50.654259959,WI,26425
40,60,2013-09-16T00:00:00-04:00,50.6,CA,26425
70,30,2013-05-07T00:00:00-04:00,50.6,CA,26425
60,40,2009-07-24T00:00:00-04:00,50.5,NC,26425
50,50,2019-01-08T00:00:00-05:00,50.441129973,NV,26425
50,50,2012-06-07T00:00:00-04:00,50.407973604,TN,26425
23,77,2017-02-04T00:00:00-05:00,50.3181197,MI,26425
13,88,2009-09-21T00:00:00-04:00,50.27119529,CA,26425
40,60,2011-10-02T00:00:00-04:00,50.204728882,PA,26425
10,90,2011-04-25T00:00:00-04:00,50.175896414,NY,26425
30,70,2012-07-29T00:00:00-04:00,50.0,NC,26425
50,50,2009-08-18T00:00:00-04:00,50.0,AZ,26425
43,57,2012-12-21T00:00:00-05:00,49.88932239,TX,26425
20,80,2020-02-08T00:00:00-05:00,49.8,CA,26425
80,20,2015-08-01T00:00:00-04:00,49.715796824,HI,26425
30,70,2009-11-04T00:00:00-05:00,49.5,NC,26425
44,56,2012-06-17T00:00:00-04:00,49.437383787,MO,26425
60,40,2009-07-11T00:00:00-04:00,49.3,OR,26425
47,53,2011-02-07T00:00:00-05:00,49.155930839,,26425
46,54,2012-03-07T00:00:00-05:00,49.012120656,FL,26425
96,4,2010-05-30T00:00:00-04:00,49.008578259,KY,26425
10,90,2010-03-07T00:00:00-05:00,49.0,CO,26425
30,70,2009-08-06T00:00:00-04:00,49.0,,26425
30,70,2010-08-25T00:00:00-04:00,48.980545701,VT,26425
25,75,2009-11-05T00:00:00-05:00,48.911615852,OH,26425
20,80,2011-09-16T00:00:00-04:00,48.749715845,CA,26425
10,90,2010-09-06T00:00:00-04:00,48.727390403,CA,26425
60,40,2009-08-01T00:00:00-04:00,48.6,MO,26425
