efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SGMXT03.0354,48204,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT03.0354,48204,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3330,48208,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48208,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48205,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48205,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT02.7100,48206,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48206,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT03.0354,48229,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT03.0354,48229,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3387,48235,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT05.3387,48235,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3330,48240,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48240,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT06.2375,48237,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT06.2375,48237,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT05.3330,48242,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48242,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48244,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48244,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48233,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT02.7100,48233,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48232,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT02.7100,48232,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT03.0355,48231,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT03.0355,48231,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT05.3330,48250,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48250,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT06.2375,48239,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT06.2375,48239,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT05.3330,48251,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48251,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT00.0005,48709,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SGMXT00.0005,48709,7,10.0,-1.0,2,ZEV,California ZEV
SGMXT03.0354,48230,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT03.0354,48230,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3387,48236,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3387,48236,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT06.2375,48238,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT06.2375,48238,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT05.3330,48241,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48241,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48234,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT02.7100,48234,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT01.5080,48610,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT01.5080,48610,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT01.5080,48603,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT01.5080,48603,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48243,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48243,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48245,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48245,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT06.2375,48625,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT06.2375,48625,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT03.0353,48945,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT03.0353,48945,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT05.3330,48627,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48627,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT06.2375,48635,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT06.2375,48635,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT05.3330,48637,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT05.3330,48637,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT03.0353,48960,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT03.0353,48960,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT03.0353,48944,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT03.0353,48944,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SGMXT05.3330,48628,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48628,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT06.2375,48626,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT06.2375,48626,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT06.2375,48636,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SGMXT06.2375,48636,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SGMXT05.3330,48638,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SGMXT05.3330,48638,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.07EB,48505,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHNXV02.07EB,48505,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SHNXV01.56EB,48504,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV01.56EB,48504,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SGMXT03.0353,48959,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SGMXT03.0353,48959,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SHNXV02.07EB,48497,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.07EB,48497,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.0JEK,48017,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.0JEK,48017,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0JEK,48016,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0JEK,48016,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SHNXV02.0GES,48018,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SHNXV02.0GES,48018,7,6.0,-1.0,1,OT,Other
SHNXV01.5SDC,48178,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
