efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
SVGAV03.0N7M,48036,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAV03.0N7M,48036,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAT02.0A5T,48260,3,5.0,-1.0,-1,T3B50,Federal Tier 3 Bin 50
SVGAT02.0A5T,48260,7,5.0,-1.0,-1,L3ULEV50,California LEV-III ULEV50
SVGAT02.0A3T,48528,3,6.0,-1.0,-1,T3B30,Federal Tier 3 Bin 30
SVGAT02.0A3T,48528,7,6.0,-1.0,-1,L3SULEV30,California LEV-III SULEV30
SVGAV00.0NZ4,48296,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZ4,48296,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV00.0NZ5,48681,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZ5,48681,7,10.0,-1.0,2,ZEV,California ZEV
SVGAV00.0NZ5,48682,3,10.0,-1.0,2,T3B0,Federal Tier 3 Bin 0
SVGAV00.0NZ5,48682,7,10.0,-1.0,2,ZEV,California ZEV
SVGAT02.0A3P,48653,3,6.0,-1.0,1,T3B30,Federal Tier 3 Bin 30
SVGAT02.0A3P,48653,7,6.0,-1.0,1,L3SULEV30,California LEV-III SULEV30
SVGAJ02.0A7E,48076,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ02.0A7E,48076,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ02.0A7G,48074,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
SVGAJ02.0A7G,48074,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ02.0A7G,48075,3,4.0,-1.0,-1,T3B70,Federal Tier 3 Bin 70
SVGAJ02.0A7G,48075,7,4.0,-1.0,-1,L3ULEV70,California LEV-III ULEV70
