vehicleId;vehicleDescription;make;model;modelYear;complaintsCount;recallsCount;overallRating;overallFrontCrashRating;frontCrashDriversideRating;frontCrashPassengersideRating;frontCrashPicture;frontCrashVideo;overallSideCrashRating;sideCrashDriversideRating;sideCrashPassengersideRating;sideCrashPicture;sideCrashVideo;combinedSideBarrierAndPoleRating-Front;combinedSideBarrierAndPoleRating-Rear;sideBarrierRating-Overall;rolloverRating;rolloverRating2;rolloverPossibility;rolloverPossibility2;dynamicTipResult;sidePoleCrashRating;sidePolePicture;sidePoleVideo;nHTSAElectronicStabilityControl;nHTSAForwardCollisionWarning;nHTSALaneDepartureWarning;investigationCount;vehiclePicture
20303;2025 Ford Escape HEV SUV AWD;FORD;ESCAPE HEV;2025;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v10971P084.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10971C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v10965P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10965C013.wmv;5;5;5;4;;0.174;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v10967P073.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10967C013.wmv;Standard;Standard;Standard;0;
20302;2025 Ford Escape HEV SUV FWD;FORD;ESCAPE HEV;2025;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v10971P084.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10971C019.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v10965P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10965C013.wmv;5;5;5;4;;0.169;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v10967P073.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v10967C013.wmv;Standard;Standard;Standard;0;
20304;2025 Ford Escape PHEV SUV FWD;FORD;ESCAPE PHEV;2025;0;0;5;4;4;5;https://static.nhtsa.gov/crashTest/images/2025/v14075P122.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14075C020.wmv;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v14066P143.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14066C014.wmv;5;5;5;4;;0.143;0.0;;5;https://static.nhtsa.gov/crashTest/images/2025/v14074P112.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v14074C014.wmv;Standard;Standard;Standard;0;
20306;2025 Ford Expedition SUV 4WD;FORD;EXPEDITION;2025;5;3;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;
20305;2025 Ford Expedition SUV RWD;FORD;EXPEDITION;2025;5;3;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;
20308;2025 Ford Expedition Max SUV 4WD;FORD;EXPEDITION MAX;2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;
20307;2025 Ford Expedition Max SUV RWD;FORD;EXPEDITION MAX;2025;0;0;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;
20048;2025 Ford Explorer SUV RWD;FORD;EXPLORER;2025;37;11;;;;;;;;;;;;;;;;;0.0;0.0;;;;;Standard;Standard;Standard;0;https://static.nhtsa.gov/images/vehicles/54477_cc0640_032_M7.png
20049;2025 Ford Explorer SUV 4WD;FORD;EXPLORER;2025;37;11;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15335P001.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11052P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11052C013.wmv;5;5;5;4;;0.151;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11051P108.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11051C013.wmv;Standard;Standard;Standard;0;https://static.nhtsa.gov/images/vehicles/54477_cc0640_032_M7.png
20051;2025 Ford Explorer HEV SUV 4WD;FORD;EXPLORER HEV;2025;0;0;5;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v15335P001.jpg;;5;5;5;https://static.nhtsa.gov/crashTest/images/2025/v11052P105.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11052C013.wmv;5;5;5;4;;0.151;0.0;No Tip;5;https://static.nhtsa.gov/crashTest/images/2025/v11051P108.jpg;https://static.nhtsa.gov/crashTest/videos/2025/v11051C013.wmv;Standard;Standard;Standard;0;
